Date : 2026-03-07 22:31:58
Directory : c:\Users\M-\Desktop\React route\Applications\my-shop\src
Total : 133 files,  10735 codes, 513 comments, 1570 blanks, all 12818 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         89 |      9,498 |        468 |      1,327 |     11,293 |
| TypeScript     |         43 |      1,049 |         26 |        193 |      1,268 |
| PostCSS        |          1 |        188 |         19 |         50 |        257 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\screens\BrandDetailsScreen.tsx                 | TypeScript JSX |        180 |          2 |         18 |        200 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\screens\BrandsScreen.tsx                       | TypeScript JSX |        349 |          4 |         43 |        396 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\api\cart.api.ts                                  | TypeScript     |         21 |          0 |          5 |         26 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\api\cartApi.ts                                   | TypeScript     |          5 |          0 |          1 |          6 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\hooks\useAddToCart.ts                            | TypeScript     |         24 |          0 |          5 |         29 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\hooks\useCart.ts                                 | TypeScript     |         10 |          0 |          2 |         12 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\hooks\useCartCount.ts                            | TypeScript     |         13 |          0 |          3 |         16 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\hooks\useClearCart.ts                            | TypeScript     |         12 |          0 |          2 |         14 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\hooks\useRemoveCartItem.ts                       | TypeScript     |         41 |          0 |         11 |         52 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\hooks\useUpdateCartItemCount.ts                  | TypeScript     |         50 |          0 |         13 |         63 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\screens\CartScreen.tsx                           | TypeScript JSX |        359 |          0 |         55 |        414 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\screens\CheckoutScreen.tsx                       | TypeScript JSX |          7 |          0 |          0 |          7 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\screens\WishlistScreen.tsx                       | TypeScript JSX |          7 |          0 |          0 |          7 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\api\categories.api.ts                      | TypeScript     |         58 |          0 |          8 |         66 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\components\CategoryCard.tsx                | TypeScript JSX |         87 |          0 |          7 |         94 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\components\FeaturedCategorySection.tsx     | TypeScript JSX |         87 |          0 |          9 |         96 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\components\NewsletterSection.tsx           | TypeScript JSX |         75 |          5 |         15 |         95 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\components\PopularSubcategoriesSection.tsx | TypeScript JSX |         91 |          0 |          7 |         98 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\components\SeasonalCategoriesSection.tsx   | TypeScript JSX |         84 |          0 |          7 |         91 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\components\SortDropdown.tsx                | TypeScript JSX |        112 |          0 |         16 |        128 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\hooks\useCategories.ts                     | TypeScript     |         20 |          0 |          3 |         23 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\hooks\useCategoryDetails.ts                | TypeScript     |         16 |          0 |          2 |         18 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\screens\CategoriesScreen.tsx               | TypeScript JSX |        114 |          0 |         21 |        135 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\screens\CategoryDetailsScreen.tsx          | TypeScript JSX |        218 |          3 |         29 |        250 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\checkout\screens\CheckoutScreen.tsx                   | TypeScript JSX |        333 |         10 |         40 |        383 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\CategorySection.tsx                   | TypeScript JSX |         52 |          0 |          6 |         58 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\DealsSection.tsx                      | TypeScript JSX |         65 |          0 |         10 |         75 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\FeaturesBar.tsx                       | TypeScript JSX |         48 |          0 |          3 |         51 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\HeroSection.tsx                       | TypeScript JSX |        217 |         14 |         24 |        255 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\NewsletterSection.tsx                 | TypeScript JSX |         33 |          0 |          7 |         40 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\PopularProducts.tsx                   | TypeScript JSX |         53 |          0 |          9 |         62 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\ProductCard.tsx                       | TypeScript JSX |        261 |         14 |         45 |        320 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\PromoBanners.tsx                      | TypeScript JSX |         95 |          8 |         13 |        116 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\orders\screens\OrderDetailsScreen.tsx                 | TypeScript JSX |        256 |         16 |         30 |        302 |
